WsWaIdx,DateHrGmt,DateHrLwt,FcastHr,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
39899,2002-12-30-06,2002-12-30-00,0,42.8,35.5,39.5,76,986.2,100,36.5,36.5,10,190,0.00,0,0,0,12
39899,2002-12-30-07,2002-12-30-01,0,42.8,35.5,39.5,76,985.9,100,36.5,36.5,10,190,0.01,0,0,0,12
39899,2002-12-30-08,2002-12-30-02,0,42.8,37.3,40.2,81,985.2,100,36.5,36.5,10,200,0.01,0,0,0,12
39899,2002-12-30-09,2002-12-30-03,0,44.6,37.3,41.2,76,984.9,100,38.8,38.8,10,190,0.01,0,0,0,12
39899,2002-12-30-10,2002-12-30-04,0,44.6,39.1,42.0,81,983.9,100,37.4,37.4,14,190,0.00,0,0,0,16
39899,2002-12-30-11,2002-12-30-05,0,46.4,42.7,44.5,87,983.2,100,39.2,39.2,16,200,0.00,0,0,0,18
39899,2002-12-30-12,2002-12-30-06,0,44.6,42.7,43.6,93,982.6,100,37.4,37.4,14,200,0.00,0,0,0,16
39899,2002-12-30-13,2002-12-30-07,0,46.4,44.5,45.4,93,982.2,100,40.0,40.0,13,200,0.02,0,0,0,15
39899,2002-12-30-14,2002-12-30-08,0,48.2,46.3,47.2,93,982.2,100,42.3,42.3,13,200,0.01,2,2,0,15
39899,2002-12-30-15,2002-12-30-09,0,48.2,48.0,48.2,100,982.6,100,41.8,41.8,15,210,0.01,14,14,0,17
39899,2002-12-30-16,2002-12-30-10,0,51.8,48.1,49.7,87,982.2,100,46.5,46.5,15,210,0.00,37,37,0,17
39899,2002-12-30-17,2002-12-30-11,0,53.6,51.7,52.6,94,981.3,100,48.2,48.2,18,210,0.01,59,59,0,21
39899,2002-12-30-18,2002-12-30-12,0,55.4,51.7,53.4,88,980.6,100,50.8,50.8,17,210,0.01,65,65,0,20
39899,2002-12-30-19,2002-12-30-13,0,57.2,53.5,55.1,88,979.6,100,53.3,53.3,16,210,0.02,59,59,0,18
39899,2002-12-30-20,2002-12-30-14,0,59.0,53.5,55.7,82,979.6,100,55.8,55.8,15,210,0.03,46,46,0,17
39899,2002-12-30-21,2002-12-30-15,0,60.8,53.5,56.4,77,980.3,100,58.7,58.7,12,210,0.01,18,18,0,14
39899,2002-12-30-22,2002-12-30-16,0,59.0,53.5,55.7,82,980.6,100,56.8,56.8,10,200,0.00,10,10,0,12
39899,2002-12-30-23,2002-12-30-17,0,59.0,53.5,55.7,82,981.6,100,56.6,56.6,11,210,0.00,0,0,0,13
39899,2002-12-31-00,2002-12-30-18,0,55.4,48.1,51.4,77,983.2,88,51.6,51.6,13,280,0.00,0,0,0,15
39899,2002-12-31-01,2002-12-30-19,0,51.8,42.7,47.1,71,984.9,84,46.7,46.7,14,260,0.00,0,0,0,16
39899,2002-12-31-02,2002-12-30-20,0,48.2,39.1,43.8,71,985.6,84,43.7,43.7,9,280,0.00,0,0,0,10
39899,2002-12-31-03,2002-12-30-21,0,44.6,35.5,40.4,70,986.6,87,38.4,38.4,11,290,0.00,0,0,0,13
39899,2002-12-31-04,2002-12-30-22,0,42.8,33.7,38.7,70,988.2,90,37.4,37.4,8,300,0.00,0,0,0,9
39899,2002-12-31-05,2002-12-30-23,0,39.2,31.9,36.0,75,988.6,91,31.6,31.6,11,300,0.00,0,0,0,13
39899,2002-12-31-06,2002-12-31-00,0,37.4,30.1,34.3,75,989.9,96,32.1,32.1,6,290,0.00,0,0,0,7
39899,2002-12-31-07,2002-12-31-01,0,35.6,28.3,32.6,75,990.2,97,29.2,29.2,7,300,0.00,0,0,0,8
39899,2002-12-31-08,2002-12-31-02,0,35.6,28.3,32.6,75,991.2,97,29.9,29.9,6,290,0.00,0,0,0,7
39899,2002-12-31-09,2002-12-31-03,0,35.6,26.5,31.9,69,991.6,97,28.6,28.6,8,290,0.00,0,0,0,9
39899,2002-12-31-10,2002-12-31-04,0,33.8,24.7,30.5,69,990.9,98,25.8,25.8,9,310,0.00,0,0,0,10
39899,2002-12-31-11,2002-12-31-05,0,33.8,22.9,30.0,64,991.2,98,26.4,26.4,8,300,0.00,0,0,0,9
39899,2002-12-31-12,2002-12-31-06,0,33.8,21.1,29.5,60,992.2,100,26.4,26.4,8,300,0.00,0,0,0,9
39899,2002-12-31-13,2002-12-31-07,0,32.0,19.3,27.9,59,992.9,100,23.5,23.5,9,300,0.00,0,0,0,10
39899,2002-12-31-14,2002-12-31-08,0,32.0,19.3,27.9,59,993.6,100,23.5,23.5,9,310,0.00,5,5,0,10
39899,2002-12-31-15,2002-12-31-09,0,32.0,19.3,27.9,59,994.2,99,24.1,24.1,8,310,0.00,57,57,0,9
39899,2002-12-31-16,2002-12-31-10,0,33.8,19.3,29.0,55,994.9,94,26.4,26.4,8,300,0.00,167,127,135,9
39899,2002-12-31-17,2002-12-31-11,0,33.8,19.3,29.0,55,993.9,82,25.8,25.8,9,290,0.00,210,170,106,10
39899,2002-12-31-18,2002-12-31-12,0,35.6,19.3,30.0,51,992.9,5,28.4,28.4,8,300,0.00,232,191,96,9
39899,2002-12-31-19,2002-12-31-13,0,37.4,17.5,30.7,44,992.9,15,30.8,30.8,8,300,0.00,236,190,109,9
39899,2002-12-31-20,2002-12-31-14,0,39.2,17.6,31.7,41,992.9,27,34.6,34.6,5,300,0.00,310,97,580,6
39899,2002-12-31-21,2002-12-31-15,0,39.2,17.6,31.7,41,992.9,28,36.9,36.9,3,290,0.00,186,96,328,3
39899,2002-12-31-22,2002-12-31-16,0,39.2,17.6,31.7,41,993.2,33,33.0,33.0,8,340,0.00,55,52,21,9
39899,2002-12-31-23,2002-12-31-17,0,37.4,19.3,31.1,48,993.9,40,32.8,32.8,5,0,0.00,0,0,0,6
39899,2003-01-01-00,2002-12-31-18,0,33.8,24.7,30.5,69,994.2,62,29.6,29.6,4,60,0.00,0,0,0,5
39899,2003-01-01-01,2002-12-31-19,0,35.6,19.3,30.0,51,994.2,73,28.6,28.6,8,0,0.00,0,0,0,9
39899,2003-01-01-02,2002-12-31-20,0,33.8,17.5,28.6,51,994.2,81,27.7,27.7,6,30,0.00,0,0,0,7
39899,2003-01-01-03,2002-12-31-21,0,33.8,19.3,29.0,55,994.2,85,26.4,26.4,8,0,0.00,0,0,0,9
39899,2003-01-01-04,2002-12-31-22,0,33.8,19.3,29.0,55,994.6,88,25.3,25.3,10,20,0.00,0,0,0,12
39899,2003-01-01-05,2002-12-31-23,0,32.0,21.1,28.4,64,994.9,89,24.8,24.8,7,20,0.00,0,0,0,8

